"Documentation","Dokumentation"
"Homepage","Startseite"
"Name of the index page.","Name der Hauptseite."
"This page is empty.","Diese Seite ist leer."
"<a href=""%s"">Add content</a>","<a href=""%s"">Inhalt hinzufügen</a>"
"The page has been saved.","Die Seite wurde gespeichert."
"Page ""%s""","Seite ""%s"""
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Content","Inhalt"
"Created: %s by %s","Erstellt: %s Uhr von %s"
"Updated: %s by %s","Aktualisiert: %s Uhr von %s"
"Configuration","Konfiguration"
"Search results for ""%s""","Suchergebnisse für ""%s"""
"No pages containing ""%s"" were found.","Es wurden keine Seiten gefunden, die ""%s"" enthalten."
"%s result(s)","%s Treffer"
"Search","Suchen"
"All pages","Alle Seiten"
"No pages found.","Keine Seiten gefunden."
"Orphan pages","Verwaiste Seiten"
"%s page(s) not linked by other pages:","%s Seite(n) ohne Verlinkung durch andere Seiten:"
"There are no pages without links to it.","Es gibt keine Seite ohne Verweise."
"Rename","Umbenennen"
"Rename page ""%s""","Seite ""%s"" umbenennen"
"Page name","Seitenname"
"New name","Neuer Name"
"This page doesn't exist.","Diese Seite existiert nicht."
"Choose a unique name. The links on other pages will be adjusted accordingly.","Wählen Sie einen eindeutigen Namen. Die Links auf anderen Seiten werden entsprechend angepasst."
"The new and the old name are identical. No changes have been saved.","Der neue und der alte Name sind ident. Es wurden keine Änderungen gespeichert."
"The new name has been saved.","Der neue Name wurde gespeichert."
"The page '%s' does already exist.","Die Seite '%s' existiert bereits."
"The links to this page have been renamed.","Die Links zu dieser Seite wurden umbenannt."
