"Documentation","Documentation"
"Homepage","Homepage"
"Name of the index page.","Name of the index page."
"This page is empty. <a href=""%s"">Add content</a>","This page is empty. <a href=""%s"">Add content</a>"
"The page has been saved.","The page has been saved."
"Page ""%s""","Page ""%s"""
"Save and Continue Edit","Save and Continue Edit"
"Content","Content"
"Created: %s by %s","Created: %s by %s"
"Updated: %s by %s","Updated: %s by %s"
"Configuration","Configuration"
"Search results for ""%s""","Search results for ""%s"""
"No pages containing ""%s"" were found.","No pages containing ""%s"" were found."
"%s result(s)","%s result(s)"
"Search","Search"
"All pages","All pages"
"No pages found.","No pages found."
"Orphan pages","Orphan pages"
"%s page(s) not linked by other pages:","%s page(s) not linked by other pages:"
"There are no pages without links to it.","There are no pages without links to it."
